B03002_001E,B03002_001M,B03002_002E,B03002_002M,B03002_003E,B03002_003M,B03002_004E,B03002_004M,B03002_005E,B03002_005M,B03002_006E,B03002_006M,B03002_007E,B03002_007M,B03002_008E,B03002_008M,B03002_009E,B03002_009M,B03002_010E,B03002_010M,B03002_011E,B03002_011M,B03002_012E,B03002_012M,B03002_013E,B03002_013M,B03002_014E,B03002_014M,B03002_015E,B03002_015M,B03002_016E,B03002_016M,B03002_017E,B03002_017M,B03002_018E,B03002_018M,B03002_019E,B03002_019M,B03002_020E,B03002_020M,B03002_021E,B03002_021M,GEO_ID,GEOID,NAME
Estimate!!Total,Margin of Error!!Total,Estimate!!Total!!Not Hispanic or Latino,Margin of Error!!Total!!Not Hispanic or Latino,Estimate!!Total!!Not Hispanic or Latino!!White alone,Margin of Error!!Total!!Not Hispanic or Latino!!White alone,Estimate!!Total!!Not Hispanic or Latino!!Black or African American alone,Margin of Error!!Total!!Not Hispanic or Latino!!Black or African American alone,Estimate!!Total!!Not Hispanic or Latino!!American Indian and Alaska Native alone,Margin of Error!!Total!!Not Hispanic or Latino!!American Indian and Alaska Native alone,Estimate!!Total!!Not Hispanic or Latino!!Asian alone,Margin of Error!!Total!!Not Hispanic or Latino!!Asian alone,Estimate!!Total!!Not Hispanic or Latino!!Native Hawaiian and Other Pacific Islander alone,Margin of Error!!Total!!Not Hispanic or Latino!!Native Hawaiian and Other Pacific Islander alone,Estimate!!Total!!Not Hispanic or Latino!!Some other race alone,Margin of Error!!Total!!Not Hispanic or Latino!!Some other race alone,Estimate!!Total!!Not Hispanic or Latino!!Two or more races,Margin of Error!!Total!!Not Hispanic or Latino!!Two or more races,Estimate!!Total!!Not Hispanic or Latino!!Two or more races!!Two races including Some other race,Margin of Error!!Total!!Not Hispanic or Latino!!Two or more races!!Two races including Some other race,"Estimate!!Total!!Not Hispanic or Latino!!Two or more races!!Two races excluding Some other race, and three or more races","Margin of Error!!Total!!Not Hispanic or Latino!!Two or more races!!Two races excluding Some other race, and three or more races",Estimate!!Total!!Hispanic or Latino,Margin of Error!!Total!!Hispanic or Latino,Estimate!!Total!!Hispanic or Latino!!White alone,Margin of Error!!Total!!Hispanic or Latino!!White alone,Estimate!!Total!!Hispanic or Latino!!Black or African American alone,Margin of Error!!Total!!Hispanic or Latino!!Black or African American alone,Estimate!!Total!!Hispanic or Latino!!American Indian and Alaska Native alone,Margin of Error!!Total!!Hispanic or Latino!!American Indian and Alaska Native alone,Estimate!!Total!!Hispanic or Latino!!Asian alone,Margin of Error!!Total!!Hispanic or Latino!!Asian alone,Estimate!!Total!!Hispanic or Latino!!Native Hawaiian and Other Pacific Islander alone,Margin of Error!!Total!!Hispanic or Latino!!Native Hawaiian and Other Pacific Islander alone,Estimate!!Total!!Hispanic or Latino!!Some other race alone,Margin of Error!!Total!!Hispanic or Latino!!Some other race alone,Estimate!!Total!!Hispanic or Latino!!Two or more races,Margin of Error!!Total!!Hispanic or Latino!!Two or more races,Estimate!!Total!!Hispanic or Latino!!Two or more races!!Two races including Some other race,Margin of Error!!Total!!Hispanic or Latino!!Two or more races!!Two races including Some other race,"Estimate!!Total!!Hispanic or Latino!!Two or more races!!Two races excluding Some other race, and three or more races","Margin of Error!!Total!!Hispanic or Latino!!Two or more races!!Two races excluding Some other race, and three or more races",id,id2,Geographic Area Name
4586,264,4124,248,3462,271,107,118,0,95,468,146,0,95,0,95,87,68,0,95,87,68,462,153,278,154,0,95,0,95,15,25,0,95,169,113,0,95,0,95,0,95,1400000US06001450604,06001450604,"Census Tract 4506.04, Alameda County, California"
3891,219,3625,251,2813,261,9,13,0,95,626,245,3,7,0,95,174,166,9,16,165,165,266,204,239,205,0,95,0,95,0,95,0,95,27,46,0,95,0,95,0,95,1400000US06001450605,06001450605,"Census Tract 4506.05, Alameda County, California"
5770,346,5352,287,3427,209,220,246,71,61,1323,168,0,95,17,24,294,145,33,55,261,112,418,180,373,189,0,95,0,95,0,95,0,95,45,53,0,95,0,95,0,95,1400000US06001450606,06001450606,"Census Tract 4506.06, Alameda County, California"
4673,408,3875,353,2598,356,129,88,0,95,950,240,24,37,18,29,156,105,0,95,156,105,798,425,506,369,73,104,0,95,0,95,0,95,159,178,60,62,0,95,60,62,1400000US06001450607,06001450607,"Census Tract 4506.07, Alameda County, California"
7929,290,7493,355,5173,363,115,154,0,95,1813,328,0,95,54,51,338,199,50,72,288,187,436,195,288,143,0,95,1,2,20,33,0,95,83,90,44,72,0,95,44,72,1400000US06001450701,06001450701,"Census Tract 4507.01, Alameda County, California"
4651,446,3703,335,3130,314,33,46,9,16,444,168,0,95,0,95,87,75,18,27,69,70,948,425,685,447,0,95,0,95,0,95,0,95,244,133,19,29,19,29,0,95,1400000US06001450741,06001450741,"Census Tract 4507.41, Alameda County, California"
4584,209,4051,225,2973,243,109,108,25,39,792,181,0,95,10,14,142,79,0,95,142,79,533,198,400,199,0,95,0,95,17,20,0,95,87,57,29,27,21,24,8,12,1400000US06001450742,06001450742,"Census Tract 4507.42, Alameda County, California"
5420,499,4569,398,1786,364,310,179,14,22,2323,283,0,95,36,50,100,80,30,47,70,63,851,561,592,554,94,122,0,95,0,95,0,95,149,130,16,27,16,27,0,95,1400000US06001450743,06001450743,"Census Tract 4507.43, Alameda County, California"
4469,225,4120,330,2663,279,0,95,20,31,1262,259,0,95,0,95,175,129,24,41,151,123,349,291,199,208,0,95,0,95,4,10,0,95,135,206,11,18,0,95,11,18,1400000US06001450744,06001450744,"Census Tract 4507.44, Alameda County, California"
5608,414,5349,373,2555,314,80,95,26,33,2532,352,0,95,0,95,156,115,0,95,156,115,259,306,259,306,0,95,0,95,0,95,0,95,0,95,0,95,0,95,0,95,1400000US06001450745,06001450745,"Census Tract 4507.45, Alameda County, California"
3031,231,2689,266,2180,287,49,39,64,58,298,151,0,95,0,95,98,72,12,18,86,71,342,174,263,159,0,95,13,21,0,95,0,95,57,63,9,15,0,95,9,15,1400000US06001450746,06001450746,"Census Tract 4507.46, Alameda County, California"
3031,286,2775,311,1327,253,114,96,14,23,1193,334,41,70,0,95,86,66,0,95,86,66,256,109,195,98,0,95,0,95,0,95,0,95,16,27,45,45,32,37,13,21,1400000US06001450750,06001450750,"Census Tract 4507.50, Alameda County, California"
1628,257,1547,274,753,233,237,208,52,74,466,210,0,95,11,17,28,44,0,95,28,44,81,69,49,48,0,95,0,95,0,95,0,95,0,95,32,51,32,51,0,95,1400000US06001450751,06001450751,"Census Tract 4507.51, Alameda County, California"
4998,354,4724,422,2053,432,123,106,15,23,2253,363,0,95,31,46,249,148,13,21,236,141,274,165,111,92,0,95,0,95,7,11,0,95,156,137,0,95,0,95,0,95,1400000US06001450752,06001450752,"Census Tract 4507.52, Alameda County, California"
6710,449,5880,496,4480,534,89,62,8,13,1200,221,0,95,0,95,103,83,31,50,72,64,830,399,800,396,0,95,1,4,0,95,0,95,8,13,21,33,0,95,21,33,1400000US06001451101,06001451101,"Census Tract 4511.01, Alameda County, California"
4059,253,3723,265,3222,252,3,8,0,95,377,116,0,95,0,95,121,123,0,95,121,123,336,140,200,85,0,95,8,14,0,95,0,95,12,18,116,108,0,95,116,108,1400000US06001451102,06001451102,"Census Tract 4511.02, Alameda County, California"
6938,417,6116,464,4648,393,379,299,36,51,813,420,0,95,88,121,152,99,0,95,152,99,822,242,261,164,0,95,0,95,0,95,0,95,545,304,16,23,0,95,16,23,1400000US06001451201,06001451201,"Census Tract 4512.01, Alameda County, California"
3753,406,3214,461,2743,418,41,39,0,95,248,108,137,186,0,95,45,40,0,95,45,40,539,195,382,170,0,95,31,44,0,95,0,95,73,58,53,62,45,61,8,16,1400000US06001451202,06001451202,"Census Tract 4512.02, Alameda County, California"
6235,415,5170,456,4461,458,0,95,0,95,522,254,0,95,33,59,154,110,0,95,154,110,1065,295,693,316,0,95,0,95,0,95,0,95,260,155,112,90,54,50,58,69,1400000US06001451300,06001451300,"Census Tract 4513, Alameda County, California"
5927,385,4378,419,3192,390,152,138,0,95,760,275,0,95,45,65,229,157,0,95,229,157,1549,468,995,403,13,22,0,95,80,97,0,95,323,258,138,116,25,30,113,110,1400000US06001451401,06001451401,"Census Tract 4514.01, Alameda County, California"
2307,274,1501,179,1019,277,0,95,0,95,454,259,0,95,0,95,28,34,0,95,28,34,806,248,786,254,0,95,0,95,0,95,0,95,20,26,0,95,0,95,0,95,1400000US06001451403,06001451403,"Census Tract 4514.03, Alameda County, California"
6258,510,2946,352,2284,284,183,148,0,95,448,277,0,95,0,95,31,35,0,95,31,35,3312,607,2572,600,0,95,0,95,0,95,0,95,703,384,37,45,37,45,0,95,1400000US06001451404,06001451404,"Census Tract 4514.04, Alameda County, California"
4480,406,3641,224,2954,332,151,173,11,17,393,170,0,95,4,8,128,120,0,95,128,120,839,402,266,153,0,95,0,95,26,39,0,95,451,442,96,75,31,48,65,58,1400000US06001451501,06001451501,"Census Tract 4515.01, Alameda County, California"
5315,404,4196,327,3241,408,63,96,79,68,581,250,0,95,0,95,232,186,29,39,203,166,1119,320,748,331,0,95,0,95,0,95,0,95,226,185,145,116,59,78,86,98,1400000US06001451503,06001451503,"Census Tract 4515.03, Alameda County, California"
1630,94,1411,142,1261,187,5,19,0,95,100,99,0,95,0,95,45,57,0,95,45,57,219,157,149,160,18,70,0,95,0,95,0,95,34,43,18,31,18,31,0,95,1400000US06001451504,06001451504,"Census Tract 4515.04, Alameda County, California"
3121,194,2941,209,2827,230,0,95,0,95,78,107,0,95,0,95,36,42,0,95,36,42,180,118,100,81,0,95,0,95,0,95,0,95,80,96,0,95,0,95,0,95,1400000US06001451505,06001451505,"Census Tract 4515.05, Alameda County, California"
3044,328,2270,312,1795,264,152,159,62,104,193,175,0,95,0,95,68,76,0,95,68,76,774,256,597,239,0,95,0,95,0,95,0,95,177,276,0,95,0,95,0,95,1400000US06001451506,06001451506,"Census Tract 4515.06, Alameda County, California"
4649,339,4008,362,3448,362,9,20,0,95,397,104,0,95,0,95,154,78,0,95,154,78,641,231,380,238,0,95,0,95,14,24,0,95,138,123,109,90,53,56,56,64,1400000US06001451601,06001451601,"Census Tract 4516.01, Alameda County, California"
5871,399,5226,438,4291,437,19,21,0,95,729,484,0,95,0,95,187,162,14,23,173,164,645,270,454,219,0,95,0,95,0,95,0,95,172,170,19,33,19,33,0,95,1400000US06001451602,06001451602,"Census Tract 4516.02, Alameda County, California"
3107,229,2569,269,2111,309,78,59,0,95,160,151,12,20,0,95,208,135,0,95,208,135,538,278,430,258,0,95,0,95,11,19,0,95,16,22,81,77,77,77,4,9,1400000US06001451701,06001451701,"Census Tract 4517.01, Alameda County, California"
4002,351,3477,354,2762,355,118,134,0,95,533,208,0,95,0,95,64,68,0,95,64,68,525,186,403,187,0,95,0,95,0,95,2,8,71,86,49,70,43,67,6,18,1400000US06001451703,06001451703,"Census Tract 4517.03, Alameda County, California"
4128,288,3583,373,3282,352,2,12,0,95,161,121,38,58,0,95,100,93,0,95,100,93,545,209,413,211,0,95,0,95,0,95,0,95,69,56,63,81,63,81,0,95,1400000US06001451704,06001451704,"Census Tract 4517.04, Alameda County, California"
37,20,37,20,37,20,0,95,0,95,0,95,0,95,0,95,0,95,0,95,0,95,0,95,0,95,0,95,0,95,0,95,0,95,0,95,0,95,0,95,0,95,1400000US06001981900,06001981900,"Census Tract 9819, Alameda County, California"
63,56,26,29,19,27,0,95,0,95,7,11,0,95,0,95,0,95,0,95,0,95,37,49,3,6,0,95,0,95,0,95,0,95,34,51,0,95,0,95,0,95,1400000US06001982000,06001982000,"Census Tract 9820, Alameda County, California"
376,131,327,109,236,98,38,34,0,95,29,22,12,18,0,95,12,9,0,95,12,9,49,77,48,76,0,95,0,95,1,2,0,95,0,95,0,95,0,95,0,95,1400000US06001983200,06001983200,"Census Tract 9832, Alameda County, California"
0,95,0,95,0,95,0,95,0,95,0,95,0,95,0,95,0,95,0,95,0,95,0,95,0,95,0,95,0,95,0,95,0,95,0,95,0,95,0,95,0,95,1400000US06001990000,06001990000,"Census Tract 9900, Alameda County, California"
